,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,K16,Texas Red,,Unkn,,,18.98,18.98,0.000,,,,0.00000,60.0,
,K17,Texas Red,,Unkn,,,23.95,23.95,0.000,,,,0.00000,60.0,
,K18,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K19,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K20,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K21,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K22,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K23,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K24,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L01,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L02,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L03,Texas Red,,Unkn,,,38.69,38.69,0.000,,,,0.00000,60.0,
,L04,Texas Red,,Unkn,,,13.89,13.89,0.000,,,,0.00000,60.0,
,L05,Texas Red,,Unkn,,,38.81,38.81,0.000,,,,0.00000,60.0,
,L06,Texas Red,,Unkn,,,25.98,25.98,0.000,,,,0.00000,60.0,
,L07,Texas Red,,Unkn,,,25.69,25.69,0.000,,,,0.00000,60.0,
,L08,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L09,Texas Red,,Unkn,,,39.62,39.62,0.000,,,,0.00000,60.0,
,L10,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L11,Texas Red,,Unkn,,,3.91,3.91,0.000,,,,0.00000,60.0,
,L12,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L13,Texas Red,,Unkn,,,25.56,25.56,0.000,,,,0.00000,60.0,
,L14,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L15,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L16,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L17,Texas Red,,Unkn,,,39.65,39.65,0.000,,,,0.00000,60.0,
,L18,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L19,Texas Red,,Unkn,,,27.90,27.90,0.000,,,,0.00000,60.0,
